Source,Indicator,Country,Administrative level,Year,Value ,Category,valuetype
Household Survey Indicators,Net attendance rate in secondary education,Chile,National,2011,0.831960622,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Chile,National,2011,0.437070892,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Chile,National,2011,0.210435561,Total,pct
Household Survey Indicators,Completion rate in primary education,Chile,National,2013,0.9826568,Total,pct
Household Survey Indicators,Completion rate in secondary education,Chile,National,2013,0.829064283,Total,pct
Household Survey Indicators,Early school dropout rate,Chile,National,2013,0.134989995,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Chile,National,2013,0.993787134,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Chile,National,2013,0.924706493,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Chile,National,2013,0.48883831,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Chile,National,2013,0.174775907,Total,pct
Household Survey Indicators,Completion rate in primary education,Chile,National,2015,0.985744055,Total,pct
Household Survey Indicators,Completion rate in secondary education,Chile,National,2015,0.844744208,Total,pct
Household Survey Indicators,Early school dropout rate,Chile,National,2015,0.118800432,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Chile,National,2015,0.99463082,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Chile,National,2015,0.944848031,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Chile,National,2015,0.49730065,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Chile,National,2015,0.166740198,Total,pct
Household Survey Indicators,Completion rate in primary education,Chile,National,2017,0.980919148,Total,pct
Household Survey Indicators,Completion rate in secondary education,Chile,National,2017,0.861700433,Total,pct
Household Survey Indicators,Early school dropout rate,Chile,National,2017,0.110335805,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Chile,National,2017,0.988448345,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Chile,National,2017,0.939257074,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Chile,National,2017,0.493613534,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Chile,National,2017,0.174702723,Total,pct
Household Survey Indicators,Completion rate in primary education,Chile,National,2020,0.987780746,Total,pct
Household Survey Indicators,Completion rate in secondary education,Chile,National,2020,0.874915106,Total,pct
Household Survey Indicators,Early school dropout rate,Chile,National,2020,0.072901043,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Chile,National,2020,0.917619314,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Chile,National,2020,0.895549678,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Chile,National,2020,0.555757594,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Chile,National,2020,0.212074899,Total,pct
Household Survey Indicators,Completion rate in primary education,Chile,National,2022,0.992218427,Total,pct
Household Survey Indicators,Completion rate in secondary education,Chile,National,2022,0.928868712,Total,pct
Household Survey Indicators,Early school dropout rate,Chile,National,2022,0.062806921,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Chile,National,2022,0.992609771,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Chile,National,2022,0.96086884,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Chile,National,2022,0.557425235,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Chile,National,2022,0.149067337,Total,pct
Household Survey Indicators,Completion rate in primary education,Chile,National,2024,0.994921225,Total,pct
Household Survey Indicators,Completion rate in secondary education,Chile,National,2024,0.945697902,Total,pct
Household Survey Indicators,Early school dropout rate,Chile,National,2024,0.051076704,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Chile,National,2024,0.988326721,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Chile,National,2024,0.967333051,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Chile,National,2024,0.568835483,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Chile,National,2024,0.141986628,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2006,0.886438062,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2006,0.607540963,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2006,0.339872598,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2006,0.942452075,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2006,0.71641203,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2006,0.275300926,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2006,0.280097314,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2007,0.884485243,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2007,0.604876032,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2007,0.334681105,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2007,0.938103838,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2007,0.71931206,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2007,0.292082904,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2007,0.257074559,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2008,0.89540969,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2008,0.620186664,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2008,0.331385136,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2008,0.961689065,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2008,0.742649828,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2008,0.292260837,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2008,0.252924504,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2009,0.890755993,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2009,0.601332391,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2009,0.338183788,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2009,0.962693424,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2009,0.743140582,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2009,0.290278962,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2009,0.240903087,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2010,0.900267032,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2010,0.624478261,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2010,0.322547739,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2010,0.963229378,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2010,0.72743727,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2010,0.305081791,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2010,0.227129441,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2011,0.895465552,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2011,0.657929564,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2011,0.296414907,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2011,0.96031791,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2011,0.727180387,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2011,0.305660853,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2011,0.225374922,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2012,0.902225842,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2012,0.667737967,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2012,0.288805325,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2012,0.964715664,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2012,0.721345918,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2012,0.306953364,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2012,0.219057534,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2013,0.894602753,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2013,0.66679784,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2013,0.26989087,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2013,0.973144144,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2013,0.736001651,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2013,0.326163963,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2013,0.212813034,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2014,0.910965407,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2014,0.662839484,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2014,0.267729308,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2014,0.968784706,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2014,0.745562993,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2014,0.332960273,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2014,0.206336976,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2015,0.906149297,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2015,0.682580398,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2015,0.255255604,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2015,0.972583914,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2015,0.74739065,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2015,0.327379532,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2015,0.205454283,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2016,0.916679723,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2016,0.702905361,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2016,0.243358721,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2016,0.976789037,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2016,0.752387319,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2016,0.325983935,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2016,0.205823269,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2017,0.915405484,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2017,0.713006779,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2017,0.221811053,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2017,0.972883734,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2017,0.755658499,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2017,0.328761064,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2017,0.212193295,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2018,0.922370613,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2018,0.708299874,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2018,0.234547777,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2018,0.969591309,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2018,0.769335831,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2018,0.310780285,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2018,0.217795061,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2019,0.927422523,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2019,0.728782227,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2019,0.214744434,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2019,0.961374867,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2019,0.772927072,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2019,0.310374423,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2019,0.236781715,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2020,0.931624468,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2020,0.743796678,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2020,0.221502421,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2020,0.949460207,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2020,0.76279376,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2020,0.276074468,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2020,0.2687443,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2021,0.936050127,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2021,0.73622968,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2021,0.202291562,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2021,0.950533568,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2021,0.788969983,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2021,0.302373896,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2021,0.248102109,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2022,0.936366542,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2022,0.732510942,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2022,0.203098655,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2022,0.960081443,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2022,0.795904951,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2022,0.342582313,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2022,0.231819189,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2023,0.93753925,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2023,0.748398059,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2023,0.188720967,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2023,0.964892936,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2023,0.811372192,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2023,0.344212121,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2023,0.210719165,Total,pct
Household Survey Indicators,Completion rate in primary education,Colombia,National,2024,0.94556977,Total,pct
Household Survey Indicators,Completion rate in secondary education,Colombia,National,2024,0.816120342,Total,pct
Household Survey Indicators,Early school dropout rate,Colombia,National,2024,0.170579211,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Colombia,National,2024,0.973126758,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Colombia,National,2024,0.80816812,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Colombia,National,2024,0.33837023,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Colombia,National,2024,0.212260445,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2006,0.901735605,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2006,0.410239144,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2006,0.446355483,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2006,0.984046774,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2006,0.623001659,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2006,0.409302966,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2006,0.18468504,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2007,0.912898286,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2007,0.396827764,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2007,0.456524315,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2007,0.986047112,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2007,0.626975628,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2007,0.399260807,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2007,0.174718105,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2008,0.916140445,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2008,0.412308309,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2008,0.428294537,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2008,0.989162401,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2008,0.652018626,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2008,0.419867773,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2008,0.173248382,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2009,0.921229782,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2009,0.431847906,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2009,0.40556395,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2009,0.990090434,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2009,0.663513022,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2009,0.442027633,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2009,0.196371061,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2010,0.916737109,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2010,0.47849033,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2010,0.384919741,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2010,0.988952239,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2010,0.668800807,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2010,0.450184354,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2010,0.194457479,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2011,0.93547831,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2011,0.504734796,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2011,0.361353054,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2011,0.990848208,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2011,0.688372271,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2011,0.478032482,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2011,0.174434098,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2012,0.935854243,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2012,0.518973287,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2012,0.349518107,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2012,0.987727769,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2012,0.696988804,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2012,0.461543939,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2012,0.189215862,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2013,0.936330135,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2013,0.534334881,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2013,0.314727462,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2013,0.99001267,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2013,0.710884819,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2013,0.494657157,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2013,0.183388368,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2014,0.94723316,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2014,0.549024165,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2014,0.293990082,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2014,0.991402167,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2014,0.740945398,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2014,0.507552702,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2014,0.169491157,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2015,0.947518331,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2015,0.52732588,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2015,0.310623454,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2015,0.990754956,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2015,0.719165659,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2015,0.493309633,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2015,0.183578517,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2016,0.954559571,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2016,0.555162693,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2016,0.29808996,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2016,0.990722119,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2016,0.72895173,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2016,0.506162817,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2016,0.163092374,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2017,0.962027759,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2017,0.576370687,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2017,0.280357294,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2017,0.990872423,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2017,0.752476284,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2017,0.514237572,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2017,0.158384998,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2018,0.96438363,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2018,0.58538731,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2018,0.266366808,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2018,0.995022244,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2018,0.7600625,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2018,0.512439179,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2018,0.171412916,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2019,0.971252747,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2019,0.617905987,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2019,0.24714704,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2019,0.995112052,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2019,0.778660907,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2019,0.527343007,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2019,0.158795219,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2020,0.975598349,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2020,0.647411319,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2020,0.209276264,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2020,0.993100778,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2020,0.78878339,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Costa Rica,National,2020,0.528869385,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Costa Rica,National,2020,0.203986993,Total,pct
Household Survey Indicators,Completion rate in primary education,Costa Rica,National,2021,0.97575087,Total,pct
Household Survey Indicators,Completion rate in secondary education,Costa Rica,National,2021,0.692343967,Total,pct
Household Survey Indicators,Early school dropout rate,Costa Rica,National,2021,0.195402791,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Costa Rica,National,2021,0.994811675,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Costa Rica,National,2021,0.807141562,Total,pct
