Source,Indicator,Country,Administrative level,Year,Value ,Category,valuetype
Household Survey Indicators,Early school dropout rate,Argentina,National,2014,0.261504406,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2014,0.989991462,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2014,0.858833168,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2014,0.465268027,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2014,0.192570641,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2015,0.979392238,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2015,0.649058499,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2015,0.255229711,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2015,0.993149573,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2015,0.892348004,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2015,0.475723508,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2015,0.198224469,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2016,0.986245254,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2016,0.649703611,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2016,0.251210979,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2016,0.984944569,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2016,0.8696091,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2016,0.468310155,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2016,0.201004293,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2017,0.985926441,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2017,0.678941754,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2017,0.229603335,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2017,0.989249166,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2017,0.874836737,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2017,0.483465498,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2017,0.187855595,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2018,0.986435263,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2018,0.70719561,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2018,0.217990167,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2018,0.992514454,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2018,0.887641552,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2018,0.488576365,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2018,0.186270204,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2019,0.989768373,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2019,0.703801678,Total,pct
