Pais,Anio,Escolaridad,Relacion_salarial
Brasil,2009,6 a 9 años,68.7
Brasil,2009,Total,78.8
Brasil,2011,0 a 5 años,75
Brasil,2011,10 a 12 años,68.2
Brasil,2011,13 años y más,71
Brasil,2011,6 a 9 años,70.9
Brasil,2011,Total,81.6
Brasil,2012,0 a 5 años,74.1
Brasil,2012,10 a 12 años,69.9
Brasil,2012,13 años y más,68.9
Brasil,2012,6 a 9 años,69.4
Brasil,2012,Total,79.8
Brasil,2013,0 a 5 años,76.5
Brasil,2013,10 a 12 años,69.3
Brasil,2013,13 años y más,72.5
Brasil,2013,6 a 9 años,71.9
Brasil,2013,Total,82.2
Brasil,2014,0 a 5 años,77
Brasil,2014,10 a 12 años,70.8
Brasil,2014,13 años y más,71.1
Brasil,2014,6 a 9 años,72.5
Brasil,2014,Total,82
Brasil,2015,0 a 5 años,77.7
Brasil,2015,10 a 12 años,72.5
Brasil,2015,13 años y más,71.1
Brasil,2015,6 a 9 años,73.7
Brasil,2015,Total,83.1
Brasil,2016,0 a 5 años,78.6
Brasil,2016,10 a 12 años,73.7
Brasil,2016,13 años y más,71.5
Brasil,2016,6 a 9 años,75.9
Brasil,2016,Total,83.5
Brasil,2017,0 a 5 años,78.6
Brasil,2017,10 a 12 años,74.9
Brasil,2017,13 años y más,71.6
Brasil,2017,6 a 9 años,76.2
Brasil,2017,Total,83.3
Brasil,2018,0 a 5 años,77.7
Brasil,2018,10 a 12 años,74
Brasil,2018,13 años y más,72.9
Brasil,2018,6 a 9 años,77.7
Brasil,2018,Total,84.3
Brasil,2019,0 a 5 años,84.9
Brasil,2019,10 a 12 años,75.5
Brasil,2019,13 años y más,74.4
Brasil,2019,6 a 9 años,78.8
Brasil,2019,Total,86.5
Brasil,2020,0 a 5 años,78.9
Brasil,2020,10 a 12 años,77.2
Brasil,2020,13 años y más,71.4
Brasil,2020,6 a 9 años,78.7
Brasil,2020,Total,85.8
Brasil,2021,0 a 5 años,76.8
Brasil,2021,10 a 12 años,77.8
Brasil,2021,13 años y más,72.3
Brasil,2021,6 a 9 años,77.9
Brasil,2021,Total,85.1
Brasil,2022,0 a 5 años,85.9
Brasil,2022,10 a 12 años,77.1
Brasil,2022,13 años y más,71.6
Brasil,2022,6 a 9 años,77.7
Brasil,2022,Total,85.4
Brasil,2023,0 a 5 años,81.8
Brasil,2023,10 a 12 años,77.7
Brasil,2023,13 años y más,73.6
Brasil,2023,6 a 9 años,79.1
Brasil,2023,Total,85.4
Brasil,2024,0 a 5 años,85.4
Brasil,2024,10 a 12 años,76.6
Brasil,2024,13 años y más,73.1
Brasil,2024,6 a 9 años,78.6
Brasil,2024,Total,85.7
Chile,2000,0 a 5 años,89.4
Chile,2000,10 a 12 años,75.3
Chile,2000,13 años y más,63.3
Chile,2000,6 a 9 años,76.4
Chile,2000,Total,74.6
Chile,2003,0 a 5 años,88.7
Chile,2003,10 a 12 años,77.9
Chile,2003,13 años y más,67.9
Chile,2003,6 a 9 años,77.3
Chile,2003,Total,80.1
Chile,2006,0 a 5 años,76.8
Chile,2006,10 a 12 años,77.7
Chile,2006,13 años y más,73.2
Chile,2006,6 a 9 años,81.1
Chile,2006,Total,82.6
Chile,2009,0 a 5 años,83.7
Chile,2009,10 a 12 años,75.1
Chile,2009,13 años y más,70
Chile,2009,6 a 9 años,75
Chile,2009,Total,80.1
Chile,2011,0 a 5 años,82.6
Chile,2011,10 a 12 años,75.7
Chile,2011,13 años y más,69.8
Chile,2011,6 a 9 años,79.8
Chile,2011,Total,79.7
Chile,2013,0 a 5 años,76.8
Chile,2013,10 a 12 años,70.7
Chile,2013,13 años y más,70.3
Chile,2013,6 a 9 años,74.8
Chile,2013,Total,76.8
Chile,2015,0 a 5 años,82.6
Chile,2015,10 a 12 años,77.5
Chile,2015,13 años y más,70
Chile,2015,6 a 9 años,78.3
Chile,2015,Total,78.2
Chile,2017,0 a 5 años,92
Chile,2017,10 a 12 años,80.9
Chile,2017,13 años y más,78.6
Chile,2017,6 a 9 años,79.5
Colombia,2002,10 a 12 años,87.6
Colombia,2002,13 años y más,76.6
Colombia,2002,6 a 9 años,87.4
Colombia,2002,Total,91.8
Colombia,2003,0 a 5 años,92.7
Colombia,2003,10 a 12 años,84.5
Colombia,2003,13 años y más,77.4
Colombia,2003,6 a 9 años,88.9
Colombia,2003,Total,90
Colombia,2004,0 a 5 años,95.5
Colombia,2004,10 a 12 años,85.4
Colombia,2004,13 años y más,74.5
Colombia,2004,6 a 9 años,86.6
Colombia,2004,Total,89.1
Colombia,2005,0 a 5 años,91.4
Colombia,2005,10 a 12 años,84.1
Colombia,2005,13 años y más,76.5
Colombia,2005,6 a 9 años,87.3
Colombia,2005,Total,89.7
Colombia,2008,0 a 5 años,86.1
Colombia,2008,10 a 12 años,81
Colombia,2008,13 años y más,78.1
Colombia,2008,6 a 9 años,81.9
Colombia,2008,Total,89.8
Colombia,2009,0 a 5 años,82.4
Colombia,2009,10 a 12 años,78.5
Colombia,2009,13 años y más,78.3
Colombia,2009,6 a 9 años,81.2
Colombia,2009,Total,89.6
Colombia,2010,0 a 5 años,83.9
Colombia,2010,10 a 12 años,79.4
Colombia,2010,13 años y más,75.8
Colombia,2010,6 a 9 años,79.3
Colombia,2010,Total,88.4
Colombia,2011,0 a 5 años,80.1
Colombia,2011,10 a 12 años,79.2
Colombia,2011,13 años y más,81.1
Colombia,2011,6 a 9 años,80
Colombia,2011,Total,91.3
Colombia,2012,0 a 5 años,81.4
Colombia,2012,10 a 12 años,77.7
Colombia,2012,13 años y más,79.2
Colombia,2012,6 a 9 años,76.9
Colombia,2012,Total,88.8
Colombia,2013,0 a 5 años,81.2
Colombia,2013,10 a 12 años,79.1
Colombia,2013,13 años y más,79.5
Colombia,2013,6 a 9 años,77.1
Colombia,2013,Total,89.7
Colombia,2014,0 a 5 años,83.6
Colombia,2014,10 a 12 años,79.3
Colombia,2014,13 años y más,76.9
Colombia,2014,6 a 9 años,79.2
Colombia,2014,Total,87.8
Colombia,2015,0 a 5 años,79.3
Colombia,2015,10 a 12 años,81
Colombia,2015,13 años y más,79.8
Colombia,2015,6 a 9 años,80
Colombia,2015,Total,89.9
Colombia,2016,0 a 5 años,82.8
Colombia,2016,10 a 12 años,80.9
Colombia,2016,13 años y más,82.5
Colombia,2016,6 a 9 años,80.3
Colombia,2016,Total,91.7
Colombia,2017,0 a 5 años,82
Colombia,2017,10 a 12 años,82.3
Colombia,2017,13 años y más,83.3
Colombia,2017,6 a 9 años,84.3
Colombia,2017,Total,92.2
Colombia,2018,0 a 5 años,83.9
Colombia,2018,10 a 12 años,82.6
Colombia,2018,13 años y más,85.1
Colombia,2018,6 a 9 años,81.6
Colombia,2018,Total,94
Colombia,2019,0 a 5 años,85.6
Colombia,2019,10 a 12 años,83.8
Colombia,2019,13 años y más,81
Colombia,2019,6 a 9 años,86.8
Colombia,2019,Total,92.3
Colombia,2020,0 a 5 años,84.9
Colombia,2020,10 a 12 años,85.4
Colombia,2020,13 años y más,83.8
Colombia,2020,6 a 9 años,87.7
Colombia,2020,Total,96.1
Colombia,2021,0 a 5 años,87.7
Colombia,2021,10 a 12 años,86.1
Colombia,2021,13 años y más,84.3
Colombia,2021,6 a 9 años,86.9
Colombia,2021,Total,96.8
Colombia,2022,0 a 5 años,83.5
Colombia,2022,10 a 12 años,86.4
Colombia,2022,13 años y más,82.4
Colombia,2022,6 a 9 años,85.3
Colombia,2022,Total,95.3
Colombia,2023,0 a 5 años,89.1
Colombia,2023,10 a 12 años,87.2
Colombia,2023,13 años y más,81.4
Colombia,2023,6 a 9 años,86.3
Colombia,2023,Total,94.2
Colombia,2024,0 a 5 años,89.4
Colombia,2024,10 a 12 años,86.6
Colombia,2024,13 años y más,84.6
Colombia,2024,6 a 9 años,86.2
Colombia,2024,Total,96.5
Costa Rica,2000,0 a 5 años,64.7
Costa Rica,2000,10 a 12 años,75.4
Costa Rica,2000,13 años y más,72.6
Costa Rica,2000,6 a 9 años,74.7
Costa Rica,2000,Total,84.2
Costa Rica,2001,0 a 5 años,65.2
Costa Rica,2001,10 a 12 años,73.9
Costa Rica,2001,13 años y más,78.1
Costa Rica,2001,6 a 9 años,75.7
Costa Rica,2001,Total,87.3
Costa Rica,2002,0 a 5 años,68.2
Costa Rica,2002,10 a 12 años,84.4
Costa Rica,2002,13 años y más,69.5
Costa Rica,2002,6 a 9 años,68.3
Costa Rica,2002,Total,83.5
Costa Rica,2003,0 a 5 años,67.9
Costa Rica,2003,10 a 12 años,78.3
Costa Rica,2003,13 años y más,74.6
Costa Rica,2003,6 a 9 años,69.8
Costa Rica,2003,Total,86.7
Costa Rica,2004,0 a 5 años,71.1
Costa Rica,2004,10 a 12 años,83.1
Costa Rica,2004,13 años y más,74.3
Costa Rica,2004,6 a 9 años,74.8
Costa Rica,2004,Total,89.6
Costa Rica,2005,0 a 5 años,64.2
Costa Rica,2005,10 a 12 años,82.1
Costa Rica,2005,13 años y más,76.6
Costa Rica,2005,6 a 9 años,73.2
Costa Rica,2005,Total,89.4
Costa Rica,2006,0 a 5 años,76.5
Costa Rica,2006,10 a 12 años,82.2
Costa Rica,2006,13 años y más,76.7
Costa Rica,2006,6 a 9 años,71.6
Costa Rica,2006,Total,91
Costa Rica,2007,0 a 5 años,73.5
Costa Rica,2007,10 a 12 años,79.5
Costa Rica,2007,13 años y más,74.5
Costa Rica,2007,6 a 9 años,71.8
Costa Rica,2007,Total,87.1
Costa Rica,2008,0 a 5 años,73.8
Costa Rica,2008,10 a 12 años,74.5
Costa Rica,2008,13 años y más,79.1
Costa Rica,2008,6 a 9 años,73.1
Costa Rica,2008,Total,89.2
Costa Rica,2009,0 a 5 años,68.5
Costa Rica,2009,10 a 12 años,82.2
Costa Rica,2009,13 años y más,78.7
Costa Rica,2009,6 a 9 años,71
Costa Rica,2009,Total,92.6
Costa Rica,2010,0 a 5 años,66.4
Costa Rica,2010,10 a 12 años,82.2
Costa Rica,2010,13 años y más,86.3
Costa Rica,2010,6 a 9 años,82.5
Costa Rica,2010,Total,94.6
Costa Rica,2011,0 a 5 años,71.3
Costa Rica,2011,10 a 12 años,86.3
Costa Rica,2011,13 años y más,86.7
Costa Rica,2011,6 a 9 años,80
Costa Rica,2011,Total,95.5
Costa Rica,2012,0 a 5 años,89.1
Costa Rica,2012,10 a 12 años,87.5
Costa Rica,2012,13 años y más,83.4
Costa Rica,2012,6 a 9 años,84.9
Costa Rica,2012,Total,97.2
Costa Rica,2013,0 a 5 años,83.2
Costa Rica,2013,10 a 12 años,82.6
Costa Rica,2013,13 años y más,86.2
Costa Rica,2013,6 a 9 años,76.2
Costa Rica,2013,Total,97
Costa Rica,2014,0 a 5 años,95.9
Costa Rica,2014,10 a 12 años,82.6
Costa Rica,2014,13 años y más,80.3
Costa Rica,2014,6 a 9 años,79
Costa Rica,2014,Total,93.7
Costa Rica,2015,0 a 5 años,87.6
Costa Rica,2015,10 a 12 años,78.4
Costa Rica,2015,13 años y más,85.3
Costa Rica,2015,6 a 9 años,81.9
Costa Rica,2015,Total,99.1
Costa Rica,2016,0 a 5 años,90.9
Costa Rica,2016,10 a 12 años,85.5
Costa Rica,2016,13 años y más,83.3
Costa Rica,2016,6 a 9 años,79.4
Costa Rica,2016,Total,99.8
Costa Rica,2017,0 a 5 años,80.1
Costa Rica,2017,10 a 12 años,84.4
Costa Rica,2017,13 años y más,91.5
Costa Rica,2017,6 a 9 años,80.7
Costa Rica,2017,Total,104.6
Costa Rica,2018,0 a 5 años,79
Costa Rica,2018,10 a 12 años,83.7
Costa Rica,2018,13 años y más,85.8
Costa Rica,2018,6 a 9 años,83.9
Costa Rica,2018,Total,101.4
Costa Rica,2019,0 a 5 años,80.6
Costa Rica,2019,10 a 12 años,81
Costa Rica,2019,13 años y más,88.7
Costa Rica,2019,6 a 9 años,83.8
Costa Rica,2019,Total,102.4
Costa Rica,2020,0 a 5 años,92.7
Costa Rica,2020,10 a 12 años,90.9
Costa Rica,2020,13 años y más,90.9
Costa Rica,2020,6 a 9 años,79.7
Costa Rica,2020,Total,110.3
Costa Rica,2021,0 a 5 años,78.4
Costa Rica,2021,10 a 12 años,91.1
Costa Rica,2021,13 años y más,81.7
Costa Rica,2021,6 a 9 años,85.2
Costa Rica,2021,Total,101.2
Costa Rica,2022,0 a 5 años,87.1
Costa Rica,2022,10 a 12 años,87.2
Costa Rica,2022,13 años y más,84.6
Costa Rica,2022,6 a 9 años,81.5
Costa Rica,2022,Total,102.1
Costa Rica,2023,0 a 5 años,91.2
Costa Rica,2023,10 a 12 años,87.3
Costa Rica,2023,13 años y más,83.5
Costa Rica,2023,6 a 9 años,86.5
Costa Rica,2023,Total,100.3
Costa Rica,2024,0 a 5 años,88.1
Costa Rica,2024,10 a 12 años,89
Costa Rica,2024,13 años y más,82.5
Costa Rica,2024,6 a 9 años,87.2
Costa Rica,2024,Total,98.6
Ecuador,2001,0 a 5 años,74.2
Ecuador,2001,10 a 12 años,76.7
Ecuador,2001,13 años y más,68.6
Ecuador,2001,6 a 9 años,62
Ecuador,2001,Total,79.2
Ecuador,2003,0 a 5 años,73.5
Ecuador,2003,10 a 12 años,48.6
Ecuador,2003,13 años y más,72.1
Ecuador,2003,6 a 9 años,73.7
Ecuador,2003,Total,71.4
Ecuador,2005,0 a 5 años,74.8
Ecuador,2005,10 a 12 años,77
Ecuador,2005,13 años y más,77.6
Ecuador,2005,6 a 9 años,75.2
Ecuador,2005,Total,89
Ecuador,2006,0 a 5 años,88.3
Ecuador,2006,10 a 12 años,80.6
Ecuador,2006,13 años y más,75.7
Ecuador,2006,6 a 9 años,76.1
Ecuador,2006,Total,89
Ecuador,2007,0 a 5 años,61.8
Ecuador,2007,10 a 12 años,74.6
Ecuador,2007,13 años y más,78.9
Ecuador,2007,6 a 9 años,71
Ecuador,2007,Total,84.7
Ecuador,2008,0 a 5 años,78.7
Ecuador,2008,10 a 12 años,70.9
Ecuador,2008,13 años y más,77.7
Ecuador,2008,6 a 9 años,76.8
Ecuador,2008,Total,85.3
Ecuador,2009,0 a 5 años,78.8
Ecuador,2009,10 a 12 años,71.3
Ecuador,2009,13 años y más,74.2
Ecuador,2009,6 a 9 años,79.3
Ecuador,2009,Total,82.1
Ecuador,2010,0 a 5 años,70.8
Ecuador,2010,10 a 12 años,82.1
Ecuador,2010,13 años y más,75.8
Ecuador,2010,6 a 9 años,78.2
Ecuador,2010,Total,84.6
Ecuador,2011,0 a 5 años,64
Ecuador,2011,10 a 12 años,84.3
Ecuador,2011,13 años y más,75.1
Ecuador,2011,6 a 9 años,75.7
Ecuador,2011,Total,83.9
Ecuador,2012,0 a 5 años,95.6
Ecuador,2012,10 a 12 años,82.3
Ecuador,2012,13 años y más,90.8
Ecuador,2012,6 a 9 años,87.2
Ecuador,2012,Total,98.8
Ecuador,2013,0 a 5 años,77.4
Ecuador,2013,10 a 12 años,81.6
Ecuador,2013,13 años y más,82.2
Ecuador,2013,6 a 9 años,78.4
Ecuador,2013,Total,94.2
Ecuador,2014,0 a 5 años,91.3
Ecuador,2014,10 a 12 años,78.9
Ecuador,2014,13 años y más,82.3
Ecuador,2014,6 a 9 años,82.9
Ecuador,2014,Total,93.9
Ecuador,2015,0 a 5 años,81.3
Ecuador,2015,10 a 12 años,86.3
Ecuador,2015,13 años y más,80.3
Ecuador,2015,6 a 9 años,82.8
Ecuador,2015,Total,96.1
Ecuador,2016,0 a 5 años,84.9
Ecuador,2016,10 a 12 años,81.4
Ecuador,2016,13 años y más,83.4
Ecuador,2016,6 a 9 años,83.6
Ecuador,2016,Total,96.5
Ecuador,2017,0 a 5 años,86.4
Ecuador,2017,10 a 12 años,83.6
Ecuador,2017,13 años y más,88
Ecuador,2017,6 a 9 años,83.5
Ecuador,2017,Total,99.8
Ecuador,2018,0 a 5 años,89.1
Ecuador,2018,10 a 12 años,82.3
Honduras,2001,10 a 12 años,87
Honduras,2001,13 años y más,84.5
Honduras,2001,6 a 9 años,87.5
Honduras,2001,Total,90.4
Honduras,2004,0 a 5 años,76.1
Honduras,2004,10 a 12 años,67.7
Honduras,2004,13 años y más,84.6
Honduras,2004,6 a 9 años,94.4
Honduras,2004,Total,103.2
Honduras,2005,0 a 5 años,81.8
Honduras,2005,10 a 12 años,82.6
Honduras,2005,13 años y más,83.2
Honduras,2005,6 a 9 años,76.6
Honduras,2005,Total,92.6
Honduras,2009,0 a 5 años,80.2
Honduras,2009,10 a 12 años,90
Honduras,2009,13 años y más,82.4
Honduras,2009,6 a 9 años,80.1
Honduras,2009,Total,95.5
Honduras,2010,0 a 5 años,85.4
Honduras,2010,10 a 12 años,84.2
Honduras,2010,13 años y más,84.6
Honduras,2010,6 a 9 años,83.9
Honduras,2010,Total,93
Honduras,2011,0 a 5 años,81.5
Honduras,2011,10 a 12 años,89.4
Honduras,2011,13 años y más,78.6
Honduras,2011,6 a 9 años,87.7
Honduras,2011,Total,93.4
Honduras,2012,0 a 5 años,84
Honduras,2012,10 a 12 años,92.7
Honduras,2012,13 años y más,81.2
Honduras,2012,6 a 9 años,84.5
Honduras,2012,Total,98.1
Honduras,2013,0 a 5 años,87.3
Honduras,2013,10 a 12 años,87.4
Honduras,2013,13 años y más,81.8
Honduras,2013,6 a 9 años,83.8
Honduras,2013,Total,94
Honduras,2014,0 a 5 años,87.6
Honduras,2014,10 a 12 años,85.3
Honduras,2014,13 años y más,82.2
Honduras,2014,6 a 9 años,80.9
Honduras,2014,Total,95.7
Honduras,2015,0 a 5 años,71.2
Honduras,2015,10 a 12 años,86.9
Honduras,2015,13 años y más,88.5
Honduras,2015,6 a 9 años,81.7
Honduras,2015,Total,97.4
Honduras,2016,0 a 5 años,79.9
Honduras,2016,10 a 12 años,90.8
Honduras,2016,13 años y más,94.1
Honduras,2016,6 a 9 años,85.4
Honduras,2016,Total,103
Honduras,2018,0 a 5 años,78.1
Honduras,2018,10 a 12 años,93.2
Honduras,2018,13 años y más,87.4
Honduras,2018,6 a 9 años,80.9
Honduras,2018,Total,100.8
Honduras,2019,0 a 5 años,86
Honduras,2019,10 a 12 años,85.2
Honduras,2019,13 años y más,86.2
Honduras,2019,6 a 9 años,83.1
Honduras,2019,Total,97.7
Honduras,2022,0 a 5 años,87.2
Honduras,2022,10 a 12 años,83.2
Honduras,2022,13 años y más,93.7
Honduras,2022,6 a 9 años,82.3
Honduras,2022,Total,93.4
Honduras,2023,0 a 5 años,84.9
Honduras,2023,10 a 12 años,83
Honduras,2023,13 años y más,95.2
Honduras,2023,6 a 9 años,77.1
Honduras,2023,Total,96.8
Honduras,2024,0 a 5 años,60
Honduras,2024,10 a 12 años,88.1
Honduras,2024,13 años y más,104.8
Honduras,2024,6 a 9 años,82
Honduras,2024,Total,98.1
México,2000,0 a 5 años,64.4
México,2000,10 a 12 años,81.6
México,2000,13 años y más,59.5
México,2000,6 a 9 años,86.4
México,2000,Total,74.7
México,2002,0 a 5 años,69.9
México,2002,10 a 12 años,74
México,2002,13 años y más,78.7
México,2002,6 a 9 años,74.8
México,2002,Total,81.7
México,2004,0 a 5 años,76.6
México,2004,10 a 12 años,80.4
México,2004,13 años y más,72.2
México,2004,6 a 9 años,75.4
México,2004,Total,83.2
México,2006,0 a 5 años,68
México,2006,10 a 12 años,79.3
México,2006,13 años y más,69.1
México,2006,6 a 9 años,71.6
México,2006,Total,79.5
México,2008,0 a 5 años,72.9
México,2008,10 a 12 años,79.2
México,2008,13 años y más,74.6
México,2008,6 a 9 años,75.4
México,2008,Total,82.9
México,2010,0 a 5 años,89.3
México,2010,10 a 12 años,81.2
México,2010,13 años y más,66.6
México,2010,6 a 9 años,74.4
México,2010,Total,80.2
México,2012,0 a 5 años,100.4
México,2012,10 a 12 años,80.4
México,2012,13 años y más,73.3
México,2012,6 a 9 años,79
México,2012,Total,84.4
México,2014,0 a 5 años,83.2
México,2014,10 a 12 años,79.8
México,2014,13 años y más,74.4
México,2014,6 a 9 años,76.8
México,2014,Total,84.6
México,2016,0 a 5 años,73
México,2016,10 a 12 años,78.3
México,2016,13 años y más,78.2
México,2016,6 a 9 años,72.5
México,2016,Total,84.7
México,2018,0 a 5 años,77
México,2018,10 a 12 años,76.3
México,2018,13 años y más,80.2
México,2018,6 a 9 años,72.5
México,2018,Total,84.2
México,2020,0 a 5 años,79
México,2020,10 a 12 años,81
México,2020,13 años y más,83.4
México,2020,6 a 9 años,76.2
México,2020,Total,88.5
México,2022,0 a 5 años,81.4
México,2022,10 a 12 años,76.6
México,2022,13 años y más,81.5
México,2022,6 a 9 años,74.3
México,2022,Total,84
México,2024,0 a 5 años,79.3
México,2024,10 a 12 años,78.5
México,2024,13 años y más,79.7
México,2024,6 a 9 años,77.8
México,2024,Total,84.5
Nicaragua,2001,0 a 5 años,75.9
Nicaragua,2001,10 a 12 años,71.9
Nicaragua,2001,13 años y más,73.1
Nicaragua,2001,6 a 9 años,73.1
Nicaragua,2001,Total,82.4
Nicaragua,2005,0 a 5 años,78.6
Nicaragua,2005,10 a 12 años,81.7
Panamá,2000,10 a 12 años,82.4
Panamá,2000,13 años y más,65.9
Panamá,2000,6 a 9 años,68.6
Panamá,2000,Total,81.3
Panamá,2001,0 a 5 años,48.6
Panamá,2001,10 a 12 años,85.1
Panamá,2001,13 años y más,75
Panamá,2001,6 a 9 años,60.6
Panamá,2001,Total,88
Panamá,2002,0 a 5 años,65.2
Panamá,2002,10 a 12 años,85.6
Panamá,2002,13 años y más,74.1
Panamá,2002,6 a 9 años,61.6
Panamá,2002,Total,89.7
Panamá,2003,0 a 5 años,64.3
Panamá,2003,10 a 12 años,81.5
Panamá,2003,13 años y más,71.7
Panamá,2003,6 a 9 años,62.5
Panamá,2003,Total,88.6
Panamá,2004,0 a 5 años,55
Panamá,2004,10 a 12 años,80
Panamá,2004,13 años y más,73.8
Panamá,2004,6 a 9 años,60
Panamá,2004,Total,89.5
Panamá,2005,0 a 5 años,59.1
Panamá,2005,10 a 12 años,81.3
Panamá,2005,13 años y más,76.5
Panamá,2005,6 a 9 años,65.5
Panamá,2005,Total,90.3
Panamá,2006,0 a 5 años,44.2
Panamá,2006,10 a 12 años,78.5
Panamá,2006,13 años y más,78.8
Panamá,2006,6 a 9 años,58.8
Panamá,2006,Total,90.7
Panamá,2007,0 a 5 años,51.3
Panamá,2007,10 a 12 años,77.9
Panamá,2007,13 años y más,75.1
Panamá,2007,6 a 9 años,63.2
Panamá,2007,Total,88.6
Panamá,2008,0 a 5 años,79.7
Panamá,2008,10 a 12 años,86.3
Panamá,2008,13 años y más,79.7
Panamá,2008,6 a 9 años,65.8
Panamá,2008,Total,94.4
Panamá,2009,0 a 5 años,64.7
Panamá,2009,10 a 12 años,80.9
Panamá,2009,13 años y más,74.7
Panamá,2009,6 a 9 años,69.1
Panamá,2009,Total,88.4
Panamá,2011,0 a 5 años,63.6
Panamá,2011,10 a 12 años,79
Panamá,2011,13 años y más,75.4
Panamá,2011,6 a 9 años,68.9
Panamá,2011,Total,90.3
Panamá,2013,0 a 5 años,60.1
Panamá,2013,10 a 12 años,79.1
Panamá,2013,13 años y más,70.9
Panamá,2013,6 a 9 años,74.5
Panamá,2013,Total,87.7
Panamá,2014,0 a 5 años,64.2
Panamá,2014,10 a 12 años,80.8
Panamá,2014,13 años y más,74.6
Panamá,2014,6 a 9 años,76.6
Panamá,2014,Total,89.7
Panamá,2015,0 a 5 años,71.3
Panamá,2015,10 a 12 años,78.6
Panamá,2015,13 años y más,83.4
Panamá,2015,6 a 9 años,73.9
Panamá,2015,Total,94.6
Panamá,2016,0 a 5 años,84.7
Panamá,2016,10 a 12 años,83.2
Panamá,2016,13 años y más,79.8
Panamá,2016,6 a 9 años,78.6
Panamá,2016,Total,94
Panamá,2017,0 a 5 años,70.5
Panamá,2017,10 a 12 años,79
Panamá,2017,13 años y más,75.9
Panamá,2017,6 a 9 años,77.6
Panamá,2017,Total,90.6
Panamá,2018,0 a 5 años,77.4
Panamá,2018,10 a 12 años,79
Panamá,2018,13 años y más,76.2
Panamá,2018,6 a 9 años,78.7
Panamá,2018,Total,94.2
Panamá,2019,0 a 5 años,80.1
Panamá,2019,10 a 12 años,82
Panamá,2019,13 años y más,90.5
Panamá,2019,6 a 9 años,80.3
Panamá,2019,Total,101.1
Panamá,2021,0 a 5 años,84.8
Panamá,2021,10 a 12 años,81.5
Panamá,2021,13 años y más,87.2
Panamá,2021,6 a 9 años,86.5
Panamá,2021,Total,100.4
Panamá,2022,0 a 5 años,90.6
Panamá,2022,10 a 12 años,85.7
Panamá,2022,13 años y más,87.8
Panamá,2022,6 a 9 años,83.3
Panamá,2022,Total,101.2
Panamá,2023,0 a 5 años,58.1
Panamá,2023,10 a 12 años,81.9
Panamá,2023,13 años y más,83.9
Panamá,2023,6 a 9 años,82.8
Panamá,2023,Total,98.9
Panamá,2024,0 a 5 años,54
Panamá,2024,10 a 12 años,83.2
Panamá,2024,13 años y más,93.3
Panamá,2024,6 a 9 años,89
Panamá,2024,Total,102.6
Paraguay,2001,0 a 5 años,65.8
Paraguay,2001,10 a 12 años,84.1
Paraguay,2001,13 años y más,66.9
Paraguay,2001,6 a 9 años,80.8
Paraguay,2001,Total,80.5
Paraguay,2002,0 a 5 años,83.5
Paraguay,2002,10 a 12 años,76
Paraguay,2002,13 años y más,64.9
Paraguay,2002,6 a 9 años,77.3
Paraguay,2002,Total,80.7
Paraguay,2003,0 a 5 años,72.7
Paraguay,2003,10 a 12 años,67.7
Paraguay,2003,13 años y más,64.1
Paraguay,2003,6 a 9 años,78.4
Paraguay,2003,Total,75.4
Paraguay,2004,0 a 5 años,73.7
Paraguay,2004,10 a 12 años,85.9
Paraguay,2004,13 años y más,76.3
Paraguay,2004,6 a 9 años,78.3
Paraguay,2004,Total,85.7
Paraguay,2005,0 a 5 años,85.8
Paraguay,2005,10 a 12 años,73.8
Paraguay,2005,13 años y más,73.3
Paraguay,2005,6 a 9 años,69.9
Paraguay,2005,Total,80.5
Paraguay,2006,0 a 5 años,62.9
Paraguay,2006,10 a 12 años,74.8
Paraguay,2006,13 años y más,68.4
Paraguay,2006,6 a 9 años,74
Paraguay,2006,Total,79.4
Paraguay,2007,0 a 5 años,56.7
Paraguay,2007,10 a 12 años,77.6
Paraguay,2007,13 años y más,66.3
Paraguay,2007,6 a 9 años,74.5
Paraguay,2007,Total,77.4
Paraguay,2008,0 a 5 años,69.8
Paraguay,2008,10 a 12 años,68.2
Paraguay,2008,13 años y más,75.4
Paraguay,2008,6 a 9 años,66.3
Paraguay,2008,Total,79
Paraguay,2009,0 a 5 años,76.9
Paraguay,2009,10 a 12 años,73
Paraguay,2009,13 años y más,82.5
Paraguay,2009,6 a 9 años,68.2
Paraguay,2009,Total,82.8
Paraguay,2010,0 a 5 años,83.2
Paraguay,2010,10 a 12 años,80.5
Paraguay,2010,13 años y más,79.8
Paraguay,2010,6 a 9 años,76.1
Paraguay,2010,Total,84.5
Paraguay,2011,0 a 5 años,78.7
Paraguay,2011,10 a 12 años,84.6
Paraguay,2011,13 años y más,75.7
Paraguay,2011,6 a 9 años,69.6
Paraguay,2011,Total,84.8
Paraguay,2012,0 a 5 años,67
Paraguay,2012,10 a 12 años,74.9
Paraguay,2012,13 años y más,79.1
Paraguay,2012,6 a 9 años,73.1
Paraguay,2012,Total,82.7
Paraguay,2013,0 a 5 años,70.7
Paraguay,2013,10 a 12 años,72.9
Paraguay,2013,13 años y más,81.4
Paraguay,2013,6 a 9 años,68.9
Paraguay,2013,Total,85.6
Paraguay,2014,0 a 5 años,62
Paraguay,2014,10 a 12 años,79.7
Paraguay,2014,13 años y más,72
Paraguay,2014,6 a 9 años,70
Paraguay,2014,Total,79.6
Paraguay,2015,0 a 5 años,73.9
Paraguay,2015,10 a 12 años,82.5
