ref_area.label,source.label,indicator.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 2. Profesionales científicos e intelectuales,2023,9.885,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 3. Técnicos y profesionales de nivel medio,2023,15.568,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2022,5.993,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2022,3.248,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2022,18.573,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 1 ~ bajo,2022,22.129,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 1. Directores y gerentes,2022,-7.29,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 2. Profesionales científicos e intelectuales,2022,11.442,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 3. Técnicos y profesionales de nivel medio,2022,11.132,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2021,3.371,Ruptura de serie,,Moneda: BOL - Boliviano (BOB) | Ruptura en la serie: Metodología revisada,Repositorio: OIT-STATISTICS - Procesamiento de microdatos
