indicatorId,geoUnit,year,famale,male
FGP.5T8.F500600700,MEX,2017,30.62815093994141,69.37184906
FGP.5T8.F500600700,MEX,2019,31.26287078857422,68.73712921
FGP.5T8.F500600700,MEX,2020,32.07014083862305,67.92985916
FGP.5T8.F500600700,MEX,2021,32.90848922729492,67.09151077
FGP.5T8.F500600700,MEX,2022,33.67316818237305,66.32683182
FGP.5T8.F500600700,MEX,2023,34.42076873779297,65.57923126
FGP.5T8.F500600700,NIC,2023,38.78012084960938,61.21987915
FGP.5T8.F500600700,PAN,2015,48.9527587890625,51.04724121
FGP.5T8.F500600700,PAN,2016,43.22296142578125,56.77703857
FGP.5T8.F500600700,PAN,2019,41.03863143920898,58.96136856
FGP.5T8.F500600700,PAN,2020,41.23902130126953,58.7609787
FGP.5T8.F500600700,PAN,2021,38.89493179321289,61.10506821
FGP.5T8.F500600700,PAN,2022,41.66667175292969,58.33332825
FGP.5T8.F500600700,PER,2016,33.50205993652344,66.49794006
FGP.5T8.F500600700,PER,2017,47.80990982055664,52.19009018
FGP.5T8.F500600700,PRI,2015,35.79243087768555,64.20756912
FGP.5T8.F500600700,PRI,2016,38.5012092590332,61.49879074
FGP.5T8.F500600700,PRI,2018,39.79988098144531,60.20011902
FGP.5T8.F500600700,PRI,2023,36.91690826416016,63.08309174
FGP.5T8.F500600700,SLV,2015,26.28067016601563,73.71932983
FGP.5T8.F500600700,SLV,2016,23.90077018737793,76.09922981
FGP.5T8.F500600700,SLV,2017,23.51802062988281,76.48197937
FGP.5T8.F500600700,SLV,2018,23.13839912414551,76.86160088
FGP.5T8.F500600700,SLV,2019,24.55112075805664,75.44887924
FGP.5T8.F500600700,SLV,2020,27.43549919128418,72.56450081
FGP.5T8.F500600700,SLV,2021,43.47243118286133,56.52756882
FGP.5T8.F500600700,SLV,2022,34.36828994750977,65.63171005
FGP.5T8.F500600700,SLV,2023,40.14260101318359,59.85739899
FGP.5T8.F500600700,SXM,2015,75,25
FGP.5T8.F500600700,SXM,2017,100,0
FGP.5T8.F500600700,TCA,2021,33.33332824707031,66.66667175
FGP.5T8.F500600700,TCA,2023,16.66666984558105,83.33333015
FGP.5T8.F500600700,TTO,2019,38.81988143920898,61.18011856
FGP.5T8.F500600700,TTO,2021,40.34146118164063,59.65853882
FGP.5T8.F500600700,TTO,2022,42.50233840942383,57.49766159
FGP.5T8.F500600700,TTO,2023,41.70153045654297,58.29846954
FGP.5T8.F500600700,URY,2017,43.96355056762695,56.03644943
FGP.5T8.F500600700,URY,2018,45.28718948364258,54.71281052
FGP.5T8.F500600700,URY,2019,42.56430816650391,57.43569183
FGP.5T8.F500600700,URY,2020,40.85675048828125,59.14324951
FGP.5T8.F500600700,URY,2021,43.18618011474609,56.81381989
FGP.5T8.F500600700,URY,2022,47.05345153808594,52.94654846
FGP.5T8.F500600700,URY,2023,40.0195198059082,59.98048019
FGP.5T8.F500600700,VGB,2021,49.40710830688477,50.59289169
FGP.5T8.F500600700,VGB,2022,64.7577133178711,35.24228668
FGP.5T8.F500600700,VGB,2023,48.70465850830078,51.29534149
